,Time,Consumption (kWh),Production (kWh) per MWp
0,2020/01/01 00:00,12.6,0.0
1,2020/01/01 00:15,12.8,0.0
2,2020/01/01 00:30,11.8,0.0
3,2020/01/01 00:45,12.2,0.0
4,2020/01/01 01:00,12.0,0.0
5,2020/01/01 01:15,10.8,0.0
6,2020/01/01 01:30,11.4,0.0
7,2020/01/01 01:45,10.0,0.0
8,2020/01/01 02:00,11.3,0.0
9,2020/01/01 02:15,10.5,0.0
10,2020/01/01 02:30,12.3,0.0
11,2020/01/01 02:45,11.1,0.0
12,2020/01/01 03:00,11.2,0.0
13,2020/01/01 03:15,11.1,0.0
14,2020/01/01 03:30,12.7,0.0
15,2020/01/01 03:45,12.8,0.0
16,2020/01/01 04:00,12.5,0.0
17,2020/01/01 04:15,13.8,0.0
18,2020/01/01 04:30,13.4,0.0
19,2020/01/01 04:45,12.2,0.0
20,2020/01/01 05:00,11.6,0.0
21,2020/01/01 05:15,11.4,0.0
22,2020/01/01 05:30,10.8,0.0
23,2020/01/01 05:45,11.1,0.0
24,2020/01/01 06:00,10.8,0.0
25,2020/01/01 06:15,12.0,0.0
26,2020/01/01 06:30,12.2,0.0
27,2020/01/01 06:45,14.2,0.0
28,2020/01/01 07:00,13.2,0.0
29,2020/01/01 07:15,15.1,0.0
30,2020/01/01 07:30,15.9,0.0
31,2020/01/01 07:45,16.1,0.0
32,2020/01/01 08:00,14.5,0.0
33,2020/01/01 08:15,14.8,0.0
34,2020/01/01 08:30,15.2,0.0
35,2020/01/01 08:45,13.4,0.0
36,2020/01/01 09:00,13.9,0.001292929292929293
37,2020/01/01 09:15,12.2,0.001723905723905724
38,2020/01/01 09:30,11.2,0.001723905723905724
39,2020/01/01 09:45,11.1,0.003016835016835017
40,2020/01/01 10:00,11.9,0.0038787878787878787
41,2020/01/01 10:15,12.3,0.005602693602693603
42,2020/01/01 10:30,10.8,0.0043097643097643095
43,2020/01/01 10:45,12.1,0.008619528619528619
44,2020/01/01 11:00,10.7,0.011636363636363637
45,2020/01/01 11:15,10.3,0.013360269360269359
46,2020/01/01 11:30,9.7,0.01292929292929293
47,2020/01/01 11:45,10.7,0.020686868686868688
48,2020/01/01 12:00,9.5,0.025427609427609427
49,2020/01/01 12:15,10.3,0.03706397306397306
50,2020/01/01 12:30,11.3,0.05301010101010101
51,2020/01/01 12:45,10.7,0.06421548821548821
52,2020/01/01 13:00,10.5,0.05602693602693603
53,2020/01/01 13:15,11.7,0.05171717171717172
54,2020/01/01 13:30,10.8,0.052148148148148145
55,2020/01/01 13:45,12.3,0.0305993265993266
56,2020/01/01 14:00,11.4,0.03404713804713805
57,2020/01/01 14:15,11.8,0.024996632996632993
58,2020/01/01 14:30,11.4,0.019824915824915825
59,2020/01/01 14:45,10.3,0.01853198653198653
60,2020/01/01 15:00,11.7,0.013791245791245792
61,2020/01/01 15:15,10.8,0.008188552188552188
62,2020/01/01 15:30,11.9,0.003016835016835017
63,2020/01/01 15:45,10.8,0.001292929292929293
64,2020/01/01 16:00,10.6,0.0
65,2020/01/01 16:15,13.0,0.000430976430976431
66,2020/01/01 16:30,11.4,0.0
67,2020/01/01 16:45,11.7,0.0
68,2020/01/01 17:00,11.0,0.0
69,2020/01/01 17:15,13.1,0.0
70,2020/01/01 17:30,13.8,0.0
71,2020/01/01 17:45,14.6,0.0
72,2020/01/01 18:00,13.8,0.0
73,2020/01/01 18:15,12.9,0.0
74,2020/01/01 18:30,13.0,0.0
75,2020/01/01 18:45,13.7,0.0
76,2020/01/01 19:00,13.5,0.0
77,2020/01/01 19:15,17.0,0.0
78,2020/01/01 19:30,17.2,0.0
79,2020/01/01 19:45,13.8,0.0
80,2020/01/01 20:00,13.0,0.0
81,2020/01/01 20:15,13.0,0.0
82,2020/01/01 20:30,12.9,0.0
83,2020/01/01 20:45,14.1,0.0
84,2020/01/01 21:00,13.7,0.0
85,2020/01/01 21:15,13.6,0.0
86,2020/01/01 21:30,13.8,0.0
87,2020/01/01 21:45,15.2,0.0
88,2020/01/01 22:00,16.4,0.0
89,2020/01/01 22:15,14.0,0.0
90,2020/01/01 22:30,13.9,0.0
91,2020/01/01 22:45,12.8,0.0
92,2020/01/01 23:00,12.2,0.0
93,2020/01/01 23:15,10.2,0.0
94,2020/01/01 23:30,11.9,0.0
95,2020/01/01 23:45,13.6,0.0
96,2020/01/02 00:00,11.8,0.0
97,2020/01/02 00:15,12.1,0.0
98,2020/01/02 00:30,12.9,0.0
99,2020/01/02 00:45,13.1,0.0
100,2020/01/02 01:00,15.2,0.0
101,2020/01/02 01:15,14.8,0.0
102,2020/01/02 01:30,15.7,0.0
103,2020/01/02 01:45,13.7,0.0
104,2020/01/02 02:00,11.8,0.0
105,2020/01/02 02:15,11.2,0.0
106,2020/01/02 02:30,12.1,0.0
107,2020/01/02 02:45,11.5,0.0
108,2020/01/02 03:00,10.0,0.0
109,2020/01/02 03:15,10.2,0.0
110,2020/01/02 03:30,11.0,0.0
111,2020/01/02 03:45,10.8,0.0
112,2020/01/02 04:00,11.0,0.0
113,2020/01/02 04:15,12.9,0.0
114,2020/01/02 04:30,13.2,0.0
115,2020/01/02 04:45,13.7,0.0
116,2020/01/02 05:00,14.2,0.0
117,2020/01/02 05:15,14.6,0.0
118,2020/01/02 05:30,12.2,0.0
119,2020/01/02 05:45,12.8,0.0
120,2020/01/02 06:00,13.1,0.0
121,2020/01/02 06:15,13.9,0.0
122,2020/01/02 06:30,13.2,0.0
123,2020/01/02 06:45,12.8,0.0
124,2020/01/02 07:00,14.4,0.0
125,2020/01/02 07:15,14.9,0.0
126,2020/01/02 07:30,12.4,0.0
127,2020/01/02 07:45,12.0,0.0
128,2020/01/02 08:00,14.2,0.0
129,2020/01/02 08:15,15.8,0.0
130,2020/01/02 08:30,13.7,0.0
131,2020/01/02 08:45,13.0,0.0
132,2020/01/02 09:00,13.6,0.000861952861952862
133,2020/01/02 09:15,12.2,0.0021548821548821547
134,2020/01/02 09:30,13.2,0.005171717171717172
135,2020/01/02 09:45,11.9,0.006033670033670034
136,2020/01/02 10:00,11.3,0.00905050505050505
137,2020/01/02 10:15,11.3,0.010343434343434344
138,2020/01/02 10:30,11.4,0.013360269360269359
139,2020/01/02 10:45,12.3,0.015515151515151515
140,2020/01/02 11:00,11.4,0.019393939393939394
141,2020/01/02 11:15,11.5,0.01680808080808081
142,2020/01/02 11:30,10.4,0.016377104377104375
143,2020/01/02 11:45,10.6,0.015946127946127948
144,2020/01/02 12:00,10.1,0.015084175084175084
145,2020/01/02 12:15,9.4,0.0181010101010101
146,2020/01/02 12:30,10.1,0.024565656565656565
147,2020/01/02 12:45,9.3,0.01853198653198653
148,2020/01/02 13:00,11.0,0.024134680134680137
149,2020/01/02 13:15,11.3,0.020686868686868688
150,2020/01/02 13:30,10.9,0.0305993265993266
151,2020/01/02 13:45,12.2,0.020686868686868688
152,2020/01/02 14:00,11.3,0.024134680134680137
153,2020/01/02 14:15,11.2,0.020255892255892253
154,2020/01/02 14:30,12.0,0.007757575757575757
155,2020/01/02 14:45,10.8,0.006895622895622896
156,2020/01/02 15:00,11.7,0.008619528619528619
157,2020/01/02 15:15,10.1,0.008619528619528619
158,2020/01/02 15:30,11.8,0.007326599326599327
159,2020/01/02 15:45,14.9,0.006464646464646465
160,2020/01/02 16:00,13.6,0.0038787878787878787
161,2020/01/02 16:15,14.6,0.001292929292929293
162,2020/01/02 16:30,14.9,0.000430976430976431
163,2020/01/02 16:45,13.8,0.0
164,2020/01/02 17:00,11.2,0.0
165,2020/01/02 17:15,12.6,0.0
166,2020/01/02 17:30,13.0,0.0
167,2020/01/02 17:45,14.3,0.0
168,2020/01/02 18:00,13.4,0.0
169,2020/01/02 18:15,14.5,0.0
170,2020/01/02 18:30,14.5,0.0
171,2020/01/02 18:45,12.5,0.0
172,2020/01/02 19:00,11.8,0.0
173,2020/01/02 19:15,14.5,0.0
174,2020/01/02 19:30,13.8,0.0
175,2020/01/02 19:45,12.9,0.0
176,2020/01/02 20:00,12.2,0.0
177,2020/01/02 20:15,12.2,0.0
178,2020/01/02 20:30,12.1,0.0
179,2020/01/02 20:45,11.1,0.0
180,2020/01/02 21:00,10.9,0.0
181,2020/01/02 21:15,12.1,0.0
182,2020/01/02 21:30,12.7,0.0
183,2020/01/02 21:45,13.7,0.0
184,2020/01/02 22:00,15.8,0.0
185,2020/01/02 22:15,15.8,0.0
186,2020/01/02 22:30,14.3,0.0
187,2020/01/02 22:45,13.6,0.0
188,2020/01/02 23:00,12.3,0.0
189,2020/01/02 23:15,12.6,0.0
190,2020/01/02 23:30,12.2,0.0
